"host","parasite","ParType"
"Alcelaphus_buselaphus","Rinderpest virus","Virus"
"Alcelaphus_buselaphus","Crimean congo hemorrhagic fever nairovirus","Virus"
"Alcelaphus_buselaphus","Nematodirus spathiger","Helminth"
"Alcelaphus_buselaphus","Oesophagostomum columbianum","Helminth"
"Alcelaphus_buselaphus","Bluetongue virus","Virus"
"Alcelaphus_buselaphus","Akabane virus","Virus"
"Alcelaphus_buselaphus","Protostrongylus africanus","Helminth"
"Alcelaphus_buselaphus","Rhipicephalus evertsi","Arthropod"
"Alcelaphus_buselaphus","Rhipicephalus glabroscutatum","Arthropod"
"Alcelaphus_buselaphus","Rhipicephalus pulchellus","Arthropod"
"Alcelaphus_buselaphus","Bovine alphaherpesvirus 2","Virus"
"Alcelaphus_buselaphus","Teladorsagia circumcincta","Helminth"
"Alcelaphus_buselaphus","Trichostrongylus auriculatus","Helminth"
"Alcelaphus_buselaphus","Trichostrongylus falculatus","Helminth"
"Alcelaphus_buselaphus","Trichuris ovis","Helminth"
"Alcelaphus_buselaphus","Trypanosoma brucei","Protozoa"
"Alcelaphus_buselaphus","Trypanosoma vivax","Protozoa"
"Alcelaphus_buselaphus","Bovine viral diarrhea virus 1","Virus"
"Alces_alces","Anaplasma phagocytophilum","Bacteria"
"Alces_alces","Bacillus anthracis","Bacteria"
"Alces_alces","Brucella suis","Bacteria"
"Alces_alces","Bunostomum trigonocephalum","Helminth"
"Alces_alces","Cryptosporidium parvum","Protozoa"
"Alces_alces","Dermacentor albipictus","Arthropod"
"Alces_alces","Dictyocaulus capreolus","Helminth"
"Alces_alces","Dictyocaulus eckerti","Helminth"
"Alces_alces","Dictyocaulus viviparus","Helminth"
"Alces_alces","Echinococcus granulosus","Helminth"
"Alces_alces","Elaphostrongylus alces","Helminth"
"Alces_alces","Elaphostrongylus cervi","Helminth"
"Alces_alces","Elaphostrongylus rangiferi","Helminth"
"Alces_alces","Erysipelothrix rhusiopathiae","Bacteria"
"Alces_alces","Escherichia coli","Bacteria"
"Alces_alces","Fasciola hepatica","Helminth"
"Alces_alces","Fascioloides magna","Helminth"
"Alces_alces","Tick borne encephalitis virus","Virus"
"Alces_alces","Fusobacterium necrophorum","Bacteria"
"Alces_alces","Giardia intestinalis","Protozoa"
"Alces_alces","Ixodes ricinus","Arthropod"
"Alces_alces","Klebsiella pneumoniae","Bacteria"
"Alces_alces","Leptospira interrogans","Bacteria"
"Alces_alces","Liorchis scotiae","Helminth"
"Alces_alces","Alcelaphine gammaherpesvirus 1","Virus"
"Alces_alces","Caprine gammaherpesvirus 2","Virus"
"Alces_alces","Ovine gammaherpesvirus 2","Virus"
"Alces_alces","Moniezia benedeni","Helminth"
"Alces_alces","Moniezia expansa","Helminth"
"Alces_alces","Moraxella ovis","Bacteria"
"Alces_alces","Mycobacterium avium","Bacteria"
"Alces_alces","Nematodirella alcidis","Helminth"
"Alces_alces","Oesophagostomum venulosum","Helminth"
"Alces_alces","California encephalitis orthobunyavirus","Virus"
"Alces_alces","Ostertagia leptospicularis","Helminth"
"Alces_alces","Parafasciolopsis fasciolaemorpha","Helminth"
"Alces_alces","Paramphistomum cervi","Helminth"
"Alces_alces","Paramphistomum ichikawai","Helminth"
"Alces_alces","Parelaphostrongylus tenuis","Helminth"
"Alces_alces","Pasteurella multocida","Bacteria"
"Alces_alces","Bovine viral diarrhea virus 1","Virus"
"Alces_alces","Sarcocystis alces","Protozoa"
"Alces_alces","Sarcocystis alceslatrans","Protozoa"
"Alces_alces","Sarcocystis ovalis","Protozoa"
"Alces_alces","Sarcocystis scandinavica","Protozoa"
"Alces_alces","Spiculopteragia alicis","Helminth"
"Alces_alces","Taenia hydatigena","Helminth"
"Alces_alces","Thysanosoma actinioides","Helminth"
"Alces_alces","Toxoplasma gondii","Protozoa"
"Alces_alces","Trichuris discolor","Helminth"
"Alces_alces","Trichuris ovis","Helminth"
"Alces_alces","Trypanosoma cervi","Protozoa"
"Alces_alces","Varestrongylus alces","Helminth"
"Alces_alces","Bovine alphaherpesvirus 1","Virus"
"Alces_alces","Zygocotyle lunata","Helminth"
"Alces_alces","Chronic wasting disease","Prion"
"Allenopithecus_nigroviridis","Monkeypox virus","Virus"
"Allenopithecus_nigroviridis","Paracoroptes allenopitheci","Arthropod"
"Alouatta_belzebul","Alouattamyia baeri","Arthropod"
"Alouatta_belzebul","Mayaro virus","Virus"
"Alouatta_belzebul","Ascaris elongata","Helminth"
"Alouatta_belzebul","Yellow fever virus","Virus"
"Alouatta_belzebul","Mathevotaenia megastoma","Helminth"
"Alouatta_belzebul","Plasmodium brasilianum","Protozoa"
"Alouatta_belzebul","Trypanosoma minasense","Protozoa"
"Alouatta_belzebul","Trypanosoma mycetae","Protozoa"
"Alouatta_caraya","Ancylostoma quadridentata","Helminth"
"Alouatta_caraya","Ascaris lumbricoides","Helminth"
"Alouatta_caraya","Balantidium aragaoi","Protozoa"
"Alouatta_caraya","Bertiella mucronata","Helminth"
"Alouatta_caraya","Cebidicola semiarmatus","Arthropod"
"Alouatta_caraya","Dipetalonema gracile","Helminth"
"Alouatta_caraya","Yellow fever virus","Virus"
"Alouatta_caraya","Giardia intestinalis","Protozoa"
"Alouatta_caraya","Longistriata dubia","Helminth"
"Alouatta_caraya","Mathevotaenia megastoma","Helminth"
"Alouatta_caraya","Moniezia rugosa","Helminth"
"Alouatta_caraya","Pediculus mjobergi","Arthropod"
"Alouatta_caraya","Plasmodium brasilianum","Protozoa"
"Alouatta_caraya","Raillietina demerariensis","Helminth"
"Alouatta_caraya","Retortamonas intestinalis","Protozoa"
"Alouatta_caraya","Trypanosoma cruzi","Protozoa"
"Alouatta_caraya","Trypanosoma forestali","Protozoa"
"Alouatta_caraya","Trypanosoma minasense","Protozoa"
"Alouatta_caraya","Trypanosoma mycetae","Protozoa"
"Alouatta_caraya","Trypanoxyuris callithricis","Helminth"
"Alouatta_caraya","Trypanoxyuris minutus","Helminth"
"Alouatta_guariba","Cebidicola semiarmatus","Arthropod"
"Alouatta_guariba","Dipetalonema gracile","Helminth"
"Alouatta_guariba","Yellow fever virus","Virus"
"Alouatta_guariba","Moniezia rugosa","Helminth"
"Alouatta_guariba","Parabronema bonnei","Helminth"
"Alouatta_guariba","Plasmodium brasilianum","Protozoa"
"Alouatta_guariba","Plasmodium simium","Protozoa"
"Alouatta_guariba","Trichuris dispar","Helminth"
"Alouatta_guariba","Trypanosoma forestali","Protozoa"
"Alouatta_guariba","Trypanosoma hippicum","Protozoa"
"Alouatta_guariba","Trypanosoma minasense","Protozoa"
"Alouatta_guariba","Trypanosoma mycetae","Protozoa"
"Alouatta_guariba","Trypanosoma venezuelense","Protozoa"
"Alouatta_guariba","Trypanoxyuris minutus","Helminth"
"Alouatta_palliata","Alouattamyia baeri","Arthropod"
"Alouatta_palliata","Ascaris lumbricoides","Helminth"
"Alouatta_palliata","Controrchis biliophilus","Helminth"
"Alouatta_palliata","Dermatobia hominis","Arthropod"
"Alouatta_palliata","Yellow fever virus","Virus"
"Alouatta_palliata","Leishmania mexicana","Protozoa"
"Alouatta_palliata","Listrocarpus alouattae","Arthropod"
"Alouatta_palliata","Mansonella marmosetae","Helminth"
"Alouatta_palliata","Parabronema bonnei","Helminth"
"Alouatta_palliata","Plasmodium brasilianum","Protozoa"
"Alouatta_palliata","Plasmodium simium","Protozoa"
"Alouatta_palliata","Prosthenorchis elegans","Helminth"
"Alouatta_palliata","Raillietina demerariensis","Helminth"
"Alouatta_palliata","Squamanema bonnei","Helminth"
"Alouatta_palliata","Trypanosoma cruzi","Protozoa"
"Alouatta_palliata","Trypanosoma mycetae","Protozoa"
"Alouatta_palliata","Trypanoxyuris minutus","Helminth"
"Alouatta_pigra","Mayaro virus","Virus"
"Alouatta_pigra","Controrchis biliophilus","Helminth"
"Alouatta_pigra","Entamoeba coli","Protozoa"
"Alouatta_pigra","St  louis encephalitis virus","Virus"
"Alouatta_pigra","Yellow fever virus","Virus"
"Alouatta_pigra","Giardia intestinalis","Protozoa"
"Alouatta_pigra","Leishmania mexicana","Protozoa"
"Alouatta_pigra","Mansonella marmosetae","Helminth"
"Alouatta_pigra","Salmonella enterica","Bacteria"
"Alouatta_pigra","Trypanosoma cruzi","Protozoa"
"Alouatta_pigra","Trypanosoma minasense","Protozoa"
"Alouatta_pigra","Trypanosoma mycetae","Protozoa"
"Alouatta_pigra","Trypanoxyuris minutus","Helminth"
"Alouatta_seniculus","Alouattalges corbeti","Arthropod"
"Alouatta_seniculus","Alouattamyia baeri","Arthropod"
"Alouatta_seniculus","Mayaro virus","Virus"
"Alouatta_seniculus","Amblyomma cajennense","Arthropod"
"Alouatta_seniculus","Ascaris lumbricoides","Helminth"
"Alouatta_seniculus","Blastocystis hominis","Protozoa"
"Alouatta_seniculus","Cebidicola extrarius","Arthropod"
"Alouatta_seniculus","Cebidicola semiarmatus","Arthropod"
"Alouatta_seniculus","Chilomastix mesnili","Protozoa"
"Alouatta_seniculus","Cochliomyia hominivorax","Arthropod"
"Alouatta_seniculus","Controrchis biliophilus","Helminth"
"Alouatta_seniculus","Dipetalonema gracile","Helminth"
"Alouatta_seniculus","Filariopsis usper","Helminth"
"Alouatta_seniculus","Yellow fever virus","Virus"
"Alouatta_seniculus","Iodamoeba butschlii","Protozoa"
"Alouatta_seniculus","Bunyamwera orthobunyavirus","Virus"
"Alouatta_seniculus","Simbu orthobunyavirus","Virus"
"Alouatta_seniculus","Parabronema bonnei","Helminth"
"Alouatta_seniculus","Physaloptera dilatata","Helminth"
