Order	Family	Genus	Species	Island_endemicity_Strict_definition	Island_endemicity_Classical_definition	Extinct_or_extant										
PRIMATES	PALAEOPROPITHECIDAE	Babakotia	radofilai	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	SUIDAE	Babyrousa	babyrussa	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	SUIDAE	Babyrousa	celebensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	SUIDAE	Babyrousa	togeanensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Batomys	dentatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Batomys	granti	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Batomys	russatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Batomys	salomonseni	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	ECHIMYIDAE	Boromys	offella	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	ECHIMYIDAE	Boromys	torrei	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CHIROPTERA	PHYLLOSTOMIDAE	Brachyphylla	cavernarum	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PHYLLOSTOMIDAE	Brachyphylla	nana	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Brachytarsomys	albicauda	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Brachytarsomys	villosa	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Brachyuromys	betsileoensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	NESOMYIDAE	Brachyuromys	ramirohitra	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	ECHIMYIDAE	Brotomys	voratus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	BOVIDAE	Bubalus	depressicornis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
