Order	Family	Genus	Species	Island_endemicity_Strict_definition	Island_endemicity_Classical_definition	Extinct_or_extant										
CHIROPTERA	VESPERTILIONIDAE	Myotis	macrotarsus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Myotis	moluccarum	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Nannosciurus	melanotis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Nasalis	larvatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CARNIVORA	FELIDAE	Neofelis	diardi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	ERINACEIDAE	Neohylomys	hainanensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DASYUROMORPHIA	DASYURIDAE	Neophascogale	lorentzii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
LAGOMORPHA	LEPORIDAE	Nesolagus	netscheri	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Niviventer	coninga	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Niviventer	culturatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Niviventer	fraternus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Niviventer	lepturus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Niviventer	rapit	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	HYLOBATIDAE	Nomascus	hainanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	NYCTERIDAE	Nycteris	javanica	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	LORISIDAE	Nycticebus	javanicus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	LORISIDAE	Nycticebus	menagensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Nyctimene	aello	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Nyctimene	albiventer	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Nyctimene	certans	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Nyctimene	cyclotis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Nyctimene	draconilla	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	microdon	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	microtis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Nyctophilus	sherrini	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Otomops	formosus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Otomops	papuensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Otomops	secundus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CARNIVORA	VIVERRIDAE	Paradoxurus	zeylonensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Parahydromys	asper	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paraleptomys	rufilatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paraleptomys	wilhelmina	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	gressitti	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	levipes	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	lorentzii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	mollis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	moncktoni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	naso	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	platyops	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	rubex	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Paramelomys	steini	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Paranyctimene	raptor	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Paranyctimene	tenax	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	ECHIMYIDAE	Pattonomys	flavidus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	EMBALLONURIDAE	Peropteryx	trinitatis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PERAMELEMORPHIA	PERAMELIDAE	Peroryctes	broadbenti	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PERAMELEMORPHIA	PERAMELIDAE	Peroryctes	raffrayana	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PERAMELEMORPHIA	PERAMELIDAE	Peroryctes	SpA	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	SCIURIDAE	Petaurillus	emiliae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Petaurillus	hosei	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Petauroides	ayamaruensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
DIPROTODONTIA	PETAURIDAE	Petaurus	abidi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Petinomys	hageni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Petinomys	sagitta	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	carmelitae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	gymnotis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	intercastellanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	matanim	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	orientalis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	sericeus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Phalanger	vestitus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Pharotis	imogene	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DASYUROMORPHIA	DASYURIDAE	Phascolosorex	doriae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DASYUROMORPHIA	DASYURIDAE	Phascolosorex	dorsalis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Piliocolobus	kirkii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	angulatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	collinus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	imbricatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	papuanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Pipistrellus	wattsi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pithecheir	melanurus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pithecheirops	otion	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DASYUROMORPHIA	DASYURIDAE	Planigale	novaeguineae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Plecotus	sacrimontis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Plecotus	taivanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pogonomelomys	brassi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pogonomelomys	bruijnii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pogonomelomys	mayeri	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pogonomys	championi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pogonomys	loriae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pogonomys	sylvestris	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	HOMINIDAE	Pongo	abelii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	HOMINIDAE	Pongo	pygmaeus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	chrysomelas	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	comata	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	frontata	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	hosei	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	melalophos	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	natunae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	rubicunda	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Presbytis	thomasi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Protochromys	fellowsi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirops	albertisii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirops	corinnae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirops	coronatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirops	cupreus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirulus	canescens	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirulus	caroli	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirulus	forbesi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirulus	larvatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirulus	mayeri	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PSEUDOCHEIRIDAE	Pseudochirulus	schlegeli	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	berniceae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	ellermani	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	fuscus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	germani	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	murinus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	musseri	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	occidentalis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	patriciae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Pseudohydromys	sandrae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	aruensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	dasymallus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	hypomelanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	macrotis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	melanopogon	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	neohibernicus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Pteropus	pohlei	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	arfakienis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	arrogans	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	baluensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	blangorum	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	giluwensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	hoogerwerfi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	jobiensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	korinchi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	montanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	mordax	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	novaeguineae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	pococki	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	praetor	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	richardsoni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	steini	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	vandeuseni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Rattus	verecundus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Rheithrosciurus	macrotis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	arcuatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	canuti	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	celebensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	creaghi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	euryotis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	formosae	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	madurensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	RHINOLOPHIDAE	Rhinolophus	nereis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Rousettus	spinalatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	CERVIDAE	Rusa	timorensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Scotophilus	collinus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DASYUROMORPHIA	DASYURIDAE	Sminthopsis	aitkeni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Solisorex	pearsoni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Sorex	jacksoni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Sorex	leucogaster	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	PHALANGERIDAE	Spilocuscus	rufoniger	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Srilankamys	ohiensis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PROBOSCIDEA	STEGODONTIDAE	Stegodon	trigonocephalus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
EULIPOTYPHLA	SORICIDAE	Suncus	ater	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Suncus	fellowesgordoni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Suncus	hosei	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Suncus	zeylanicus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Sundamys	infraluteus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Sundamys	maxi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Sundasciurus	brookei	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Sundasciurus	jentinki	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	SUIDAE	Sus	brachgnathus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	SUIDAE	Sus	verrucosus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Syconycteris	hobbit	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	TARSIIDAE	Tarsius	bancanus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	MACROPODIDAE	Thylogale	browni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	MACROPODIDAE	Thylogale	brunii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	MACROPODIDAE	Thylogale	calabyi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	MACROPODIDAE	Thylogale	christenseni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
DIPROTODONTIA	MACROPODIDAE	Thylogale	lanatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Trachypithecus	auratus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CERCOPITHECIDAE	Trachypithecus	vetulus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	TRAGULIDAE	Tragulus	javanicus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	dorsalis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	gracilis	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	javanica	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	longipes	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	montana	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	picta	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	splendidula	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
SCANDENTIA	TUPAIIDAE	Tupaia	tana	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Uromys	anak	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Vandeleuria	nolthenii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Xenuromys	barbatus	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
MONOTREMATA	TACHYGLOSSIDAE	Zaglossus	attenboroughi	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
MONOTREMATA	TACHYGLOSSIDAE	Zaglossus	bartoni	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
MONOTREMATA	TACHYGLOSSIDAE	Zaglossus	bruijnii	Not_endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	CRICETIDAE	Abrawayaomys	ruschii	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	bennettii	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	boliviensis	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	budini	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	cinerea	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	famatina	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	shistacea	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	uspallata	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
RODENTIA	ABROCOMIDAE	Abrocoma	vaccarum	Not_endemic_to_strictly_defined_islands	Not_endemic_to_classically_defined_islands	Extant										
