"host","parasite","ParType","database"
"Aepyceros_melampus","Trichostrongylus deflexus","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus falculatus","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus instabilis","Helminth","gmpd"
"Aepyceros_melampus","Trichostrongylus thomasi","Helminth","gmpd"
"Aepyceros_melampus","Trichuris globulosa","Helminth","gmpd"
"Aepyceros_melampus","Bovine alphaherpesvirus 1","Virus","gmpd"
"Ailuropoda_melanoleuca","Ascaridia schroederii","Helminth","gmpd"
"Alcelaphus_buselaphus","Agriostomum cursoni","Helminth","gmpd"
"Alcelaphus_buselaphus","Foot and mouth disease virus","Virus","gmpd"
"Alcelaphus_buselaphus","Bovine ephemeral fever virus","Virus","gmpd"
"Alcelaphus_buselaphus","Haemonchus bedfordi","Helminth","gmpd"
"Alcelaphus_buselaphus","Haemonchus contortus","Helminth","gmpd"
"Alcelaphus_buselaphus","Impalaia nudicollis","Helminth","gmpd"
"Alcelaphus_buselaphus","Impalaia tuberculata","Helminth","gmpd"
"Alcelaphus_buselaphus","Rinderpest virus","Virus","gmpd"
"Alcelaphus_buselaphus","Crimean congo hemorrhagic fever nairovirus","Virus","gmpd"
"Alcelaphus_buselaphus","Nematodirus spathiger","Helminth","gmpd"
"Alcelaphus_buselaphus","Oesophagostomum columbianum","Helminth","gmpd"
"Alcelaphus_buselaphus","Bluetongue virus","Virus","gmpd"
"Alcelaphus_buselaphus","Akabane virus","Virus","gmpd"
"Alcelaphus_buselaphus","Protostrongylus africanus","Helminth","gmpd"
"Alcelaphus_buselaphus","Rhipicephalus evertsi","Arthropod","gmpd"
"Alcelaphus_buselaphus","Rhipicephalus glabroscutatum","Arthropod","gmpd"
"Alcelaphus_buselaphus","Rhipicephalus pulchellus","Arthropod","gmpd"
"Alcelaphus_buselaphus","Bovine alphaherpesvirus 2","Virus","gmpd"
"Alcelaphus_buselaphus","Teladorsagia circumcincta","Helminth","gmpd"
"Alcelaphus_buselaphus","Trichostrongylus auriculatus","Helminth","gmpd"
"Alcelaphus_buselaphus","Trichostrongylus falculatus","Helminth","gmpd"
"Alcelaphus_buselaphus","Trichuris ovis","Helminth","gmpd"
"Alcelaphus_buselaphus","Trypanosoma brucei","Protozoa","gmpd"
"Alcelaphus_buselaphus","Trypanosoma vivax","Protozoa","gmpd"
"Alcelaphus_lichtensteinii","Haemonchus contortus","Helminth","gmpd"
"Alcelaphus_lichtensteinii","Bovine viral diarrhea virus 1","Virus","gmpd"
"Alces_alces","Anaplasma phagocytophilum","Bacteria","gmpd"
"Alces_alces","Bacillus anthracis","Bacteria","gmpd"
"Alces_alces","Brucella suis","Bacteria","gmpd"
"Alces_alces","Bunostomum trigonocephalum","Helminth","gmpd"
"Alces_alces","Cryptosporidium parvum","Protozoa","gmpd"
"Alces_alces","Dermacentor albipictus","Arthropod","gmpd"
"Alces_alces","Dictyocaulus capreolus","Helminth","gmpd"
"Alces_alces","Dictyocaulus eckerti","Helminth","gmpd"
"Alces_alces","Dictyocaulus viviparus","Helminth","gmpd"
"Alces_alces","Echinococcus granulosus","Helminth","gmpd"
"Alces_alces","Elaphostrongylus alces","Helminth","gmpd"
"Alces_alces","Elaphostrongylus cervi","Helminth","gmpd"
"Alces_alces","Elaphostrongylus rangiferi","Helminth","gmpd"
"Alces_alces","Erysipelothrix rhusiopathiae","Bacteria","gmpd"
"Alces_alces","Escherichia coli","Bacteria","gmpd"
"Alces_alces","Fasciola hepatica","Helminth","gmpd"
"Alces_alces","Fascioloides magna","Helminth","gmpd"
"Alces_alces","Tick borne encephalitis virus","Virus","gmpd"
"Alces_alces","Fusobacterium necrophorum","Bacteria","gmpd"
"Alces_alces","Giardia intestinalis","Protozoa","gmpd"
"Alces_alces","Ixodes ricinus","Arthropod","gmpd"
"Alces_alces","Klebsiella pneumoniae","Bacteria","gmpd"
"Alces_alces","Leptospira interrogans","Bacteria","gmpd"
"Alces_alces","Liorchis scotiae","Helminth","gmpd"
"Alces_alces","Alcelaphine gammaherpesvirus 1","Virus","gmpd"
"Alces_alces","Caprine gammaherpesvirus 2","Virus","gmpd"
"Alces_alces","Ovine gammaherpesvirus 2","Virus","gmpd"
"Alces_alces","Moniezia benedeni","Helminth","gmpd"
"Alces_alces","Moniezia expansa","Helminth","gmpd"
"Alces_alces","Moraxella ovis","Bacteria","gmpd"
"Alces_alces","Mycobacterium avium","Bacteria","gmpd"
"Alces_alces","Nematodirella alcidis","Helminth","gmpd"
"Alces_alces","Oesophagostomum venulosum","Helminth","gmpd"
"Alces_alces","California encephalitis orthobunyavirus","Virus","gmpd"
"Alces_alces","Ostertagia leptospicularis","Helminth","gmpd"
"Alces_alces","Parafasciolopsis fasciolaemorpha","Helminth","gmpd"
"Alces_alces","Paramphistomum cervi","Helminth","gmpd"
"Alces_alces","Paramphistomum ichikawai","Helminth","gmpd"
"Alces_alces","Parelaphostrongylus tenuis","Helminth","gmpd"
"Alces_alces","Pasteurella multocida","Bacteria","gmpd"
"Alces_alces","Bovine viral diarrhea virus 1","Virus","gmpd"
"Alces_alces","Sarcocystis alces","Protozoa","gmpd"
"Alces_alces","Sarcocystis alceslatrans","Protozoa","gmpd"
"Alces_alces","Sarcocystis ovalis","Protozoa","gmpd"
"Alces_alces","Sarcocystis scandinavica","Protozoa","gmpd"
"Alces_alces","Spiculopteragia alicis","Helminth","gmpd"
"Alces_alces","Taenia hydatigena","Helminth","gmpd"
"Alces_alces","Thysanosoma actinioides","Helminth","gmpd"
"Alces_alces","Toxoplasma gondii","Protozoa","gmpd"
"Alces_alces","Trichuris discolor","Helminth","gmpd"
"Alces_alces","Trichuris ovis","Helminth","gmpd"
"Alces_alces","Trypanosoma cervi","Protozoa","gmpd"
"Alces_alces","Varestrongylus alces","Helminth","gmpd"
"Alces_alces","Bovine alphaherpesvirus 1","Virus","gmpd"
"Alces_alces","Zygocotyle lunata","Helminth","gmpd"
"Alces_americanus","Chronic wasting disease","Prion","gmpd"
"Allenopithecus_nigroviridis","Monkeypox virus","Virus","gmpd"
"Allenopithecus_nigroviridis","Paracoroptes allenopitheci","Arthropod","gmpd"
"Alouatta_belzebul","Alouattamyia baeri","Arthropod","gmpd"
"Alouatta_belzebul","Mayaro virus","Virus","gmpd"
"Alouatta_belzebul","Ascaris elongata","Helminth","gmpd"
"Alouatta_belzebul","Yellow fever virus","Virus","gmpd"
"Alouatta_belzebul","Mathevotaenia megastoma","Helminth","gmpd"
"Alouatta_belzebul","Plasmodium brasilianum","Protozoa","gmpd"
"Alouatta_belzebul","Trypanosoma minasense","Protozoa","gmpd"
"Alouatta_belzebul","Trypanosoma mycetae","Protozoa","gmpd"
"Alouatta_caraya","Ancylostoma quadridentata","Helminth","gmpd"
"Alouatta_caraya","Ascaris lumbricoides","Helminth","gmpd"
"Alouatta_caraya","Balantidium aragaoi","Protozoa","gmpd"
"Alouatta_caraya","Bertiella mucronata","Helminth","gmpd"
"Alouatta_caraya","Cebidicola semiarmatus","Arthropod","gmpd"
"Alouatta_caraya","Dipetalonema gracile","Helminth","gmpd"
"Alouatta_caraya","Yellow fever virus","Virus","gmpd"
"Alouatta_caraya","Giardia intestinalis","Protozoa","gmpd"
"Alouatta_caraya","Longistriata dubia","Helminth","gmpd"
"Alouatta_caraya","Mathevotaenia megastoma","Helminth","gmpd"
"Alouatta_caraya","Moniezia rugosa","Helminth","gmpd"
"Alouatta_caraya","Pediculus mjobergi","Arthropod","gmpd"
"Alouatta_caraya","Plasmodium brasilianum","Protozoa","gmpd"
"Alouatta_caraya","Raillietina demerariensis","Helminth","gmpd"
"Alouatta_caraya","Retortamonas intestinalis","Protozoa","gmpd"
"Alouatta_caraya","Trypanosoma cruzi","Protozoa","gmpd"
"Alouatta_caraya","Trypanosoma forestali","Protozoa","gmpd"
"Alouatta_caraya","Trypanosoma minasense","Protozoa","gmpd"
"Alouatta_caraya","Trypanosoma mycetae","Protozoa","gmpd"
"Alouatta_caraya","Trypanoxyuris callithricis","Helminth","gmpd"
"Alouatta_caraya","Trypanoxyuris minutus","Helminth","gmpd"
"Alouatta_guariba","Cebidicola semiarmatus","Arthropod","gmpd"
"Alouatta_guariba","Dipetalonema gracile","Helminth","gmpd"
"Alouatta_guariba","Yellow fever virus","Virus","gmpd"
"Alouatta_guariba","Moniezia rugosa","Helminth","gmpd"
"Alouatta_guariba","Parabronema bonnei","Helminth","gmpd"
"Alouatta_guariba","Plasmodium brasilianum","Protozoa","gmpd"
"Alouatta_guariba","Plasmodium simium","Protozoa","gmpd"
"Alouatta_guariba","Trichuris dispar","Helminth","gmpd"
"Alouatta_guariba","Trypanosoma forestali","Protozoa","gmpd"
"Alouatta_guariba","Trypanosoma hippicum","Protozoa","gmpd"
"Alouatta_guariba","Trypanosoma minasense","Protozoa","gmpd"
"Alouatta_guariba","Trypanosoma mycetae","Protozoa","gmpd"
"Alouatta_guariba","Trypanosoma venezuelense","Protozoa","gmpd"
"Alouatta_guariba","Trypanoxyuris minutus","Helminth","gmpd"
"Alouatta_palliata","Alouattamyia baeri","Arthropod","gmpd"
"Alouatta_palliata","Ascaris lumbricoides","Helminth","gmpd"
"Alouatta_palliata","Controrchis biliophilus","Helminth","gmpd"
"Alouatta_palliata","Dermatobia hominis","Arthropod","gmpd"
"Alouatta_palliata","Yellow fever virus","Virus","gmpd"
"Alouatta_palliata","Leishmania mexicana","Protozoa","gmpd"
"Alouatta_palliata","Listrocarpus alouattae","Arthropod","gmpd"
"Alouatta_palliata","Mansonella marmosetae","Helminth","gmpd"
"Alouatta_palliata","Parabronema bonnei","Helminth","gmpd"
"Alouatta_palliata","Plasmodium brasilianum","Protozoa","gmpd"
"Alouatta_palliata","Plasmodium simium","Protozoa","gmpd"
"Alouatta_palliata","Prosthenorchis elegans","Helminth","gmpd"
"Alouatta_palliata","Raillietina demerariensis","Helminth","gmpd"
"Alouatta_palliata","Squamanema bonnei","Helminth","gmpd"
"Alouatta_palliata","Trypanosoma cruzi","Protozoa","gmpd"
"Alouatta_palliata","Trypanosoma mycetae","Protozoa","gmpd"
"Alouatta_palliata","Trypanoxyuris minutus","Helminth","gmpd"
"Alouatta_pigra","Mayaro virus","Virus","gmpd"
"Alouatta_pigra","Controrchis biliophilus","Helminth","gmpd"
"Alouatta_pigra","Entamoeba coli","Protozoa","gmpd"
"Alouatta_pigra","St  louis encephalitis virus","Virus","gmpd"
"Alouatta_pigra","Yellow fever virus","Virus","gmpd"
"Alouatta_pigra","Giardia intestinalis","Protozoa","gmpd"
"Alouatta_pigra","Leishmania mexicana","Protozoa","gmpd"
"Alouatta_pigra","Mansonella marmosetae","Helminth","gmpd"
"Alouatta_pigra","Salmonella enterica","Bacteria","gmpd"
"Alouatta_pigra","Trypanosoma cruzi","Protozoa","gmpd"
"Alouatta_pigra","Trypanosoma minasense","Protozoa","gmpd"
"Alouatta_pigra","Trypanosoma mycetae","Protozoa","gmpd"
"Alouatta_pigra","Trypanoxyuris minutus","Helminth","gmpd"
"Alouatta_seniculus","Alouattalges corbeti","Arthropod","gmpd"
"Alouatta_seniculus","Alouattamyia baeri","Arthropod","gmpd"
"Alouatta_seniculus","Mayaro virus","Virus","gmpd"
"Alouatta_seniculus","Amblyomma cajennense","Arthropod","gmpd"
"Alouatta_seniculus","Ascaris lumbricoides","Helminth","gmpd"
"Alouatta_seniculus","Blastocystis hominis","Protozoa","gmpd"
"Alouatta_seniculus","Cebidicola extrarius","Arthropod","gmpd"
"Alouatta_seniculus","Cebidicola semiarmatus","Arthropod","gmpd"
"Alouatta_seniculus","Chilomastix mesnili","Protozoa","gmpd"
"Alouatta_seniculus","Cochliomyia hominivorax","Arthropod","gmpd"
"Alouatta_seniculus","Controrchis biliophilus","Helminth","gmpd"
"Alouatta_seniculus","Dipetalonema gracile","Helminth","gmpd"
"Alouatta_seniculus","Filariopsis usper","Helminth","gmpd"
"Alouatta_seniculus","Yellow fever virus","Virus","gmpd"
"Alouatta_seniculus","Iodamoeba butschlii","Protozoa","gmpd"
"Alouatta_seniculus","Bunyamwera orthobunyavirus","Virus","gmpd"
"Alouatta_seniculus","Simbu orthobunyavirus","Virus","gmpd"
"Alouatta_seniculus","Parabronema bonnei","Helminth","gmpd"
"Alouatta_seniculus","Physaloptera dilatata","Helminth","gmpd"
"Alouatta_seniculus","Plasmodium brasilianum","Protozoa","gmpd"
"Alouatta_seniculus","Plasmodium falciparum","Protozoa","gmpd"
"Alouatta_seniculus","Plasmodium simium","Protozoa","gmpd"
"Alouatta_seniculus","Plasmodium vivax","Protozoa","gmpd"
"Alouatta_seniculus","Raillietina demerariensis","Helminth","gmpd"
"Alouatta_seniculus","Toxoplasma gondii","Protozoa","gmpd"
"Alouatta_seniculus","Trichuris dispar","Helminth","gmpd"
"Alouatta_seniculus","Trichuris trichiura","Helminth","gmpd"
"Alouatta_seniculus","Trypanosoma cruzi","Protozoa","gmpd"
"Alouatta_seniculus","Trypanosoma hippicum","Protozoa","gmpd"
"Alouatta_seniculus","Trypanosoma lambrechti","Protozoa","gmpd"
"Alouatta_seniculus","Trypanosoma minasense","Protozoa","gmpd"
"Alouatta_seniculus","Trypanosoma mycetae","Protozoa","gmpd"
"Alouatta_seniculus","Trypanosoma venezuelense","Protozoa","gmpd"
"Alouatta_seniculus","Trypanoxyuris minutus","Helminth","gmpd"
"Ammotragus_lervia","Chlamydophila abortus","Bacteria","gmpd"
"Ammotragus_lervia","Alcelaphine gammaherpesvirus 1","Virus","gmpd"
"Ammotragus_lervia","Neospora caninum","Protozoa","gmpd"
"Antidorcas_marsupialis","Agriostomum equidentatum","Helminth","gmpd"
"Antidorcas_marsupialis","Amblyomma hebraeum","Arthropod","gmpd"
"Antidorcas_marsupialis","Amblyomma marmoreum","Arthropod","gmpd"
